open,high,low,close,volume,vwap,timestamp,transactions,otc
189.78,191.08,189.4,190.4,38415419.0,190.165,1701147600000,458154,
190.9,192.09,188.97,189.37,43014224.0,189.9974,1701234000000,493064,
189.84,190.32,188.19,189.95,48744366.0,189.337,1701320400000,486786,
190.33,191.56,189.23,191.24,45676673.0,190.8613,1701406800000,515537,
189.98,190.05,187.4511,189.43,43389519.0,188.916,1701666000000,587461,
190.21,194.4,190.18,193.42,66628398.0,193.1715,1701752400000,700669,
194.45,194.76,192.11,192.32,41055862.0,192.8014,1701838800000,491436,
193.63,195.0,193.59,194.27,47413955.0,194.3967,1701925200000,495048,
194.2,195.99,193.67,195.71,53383658.0,195.1638,1702011600000,538968,
193.11,193.49,191.42,193.18,60943699.0,192.7089,1702270800000,691172,
193.08,194.72,191.721,194.71,52696900.0,193.7834,1702357200000,510768,
195.09,198.0,194.85,197.96,70404183.0,196.9085,1702443600000,672552,
198.02,199.62,196.16,198.11,66831572.0,198.2872,1702530000000,691862,
197.53,198.3999,197.0,197.57,127387901.0,197.56,1702616400000,625452,
196.09,196.63,194.39,195.89,55751861.0,195.6255,1702875600000,655763,
196.16,196.95,195.89,196.94,40714051.0,196.5277,1702962000000,451709,
196.9,197.68,194.83,194.83,52242815.0,196.142,1703048400000,550599,
196.1,197.08,193.5,194.68,46482549.0,194.7425,1703134800000,554844,
195.18,195.41,192.97,193.6,37149570.0,194.1013,1703221200000,500544,
193.61,193.89,192.83,193.05,28919310.0,193.1713,1703566800000,488257,
192.49,193.5,191.09,193.15,48087681.0,192.5679,1703653200000,548076,
194.14,194.66,193.17,193.58,34049898.0,193.9222,1703739600000,472404,
193.9,194.4,191.725,192.53,42672148.0,192.5761,1703826000000,509123,
